code_departement,SUM(total_voyageurs_2016),SUM(total_voyageurs_2017),SUM(total_voyageurs_2018),SUM(total_voyageurs_2019),SUM(total_voyageurs_2020),SUM(total_voyageurs_2021)
,121775,133483,131575,149005,111993,131347
01,8300028,8628737,7939025,8649911,5618650,7002990
02,7285511,7402087,6803703,6901382,4905314,6047761
03,2815151,2946817,2675575,2869989,1850282,2309374
04,268485,293635,228748,183205,85345,133461
05,958079,957326,791640,823679,468399,577337
06,24210620,27797250,26018010,30318579,16852660,21998491
07,6145,3831,7874,9844,4362,4002
08,2796895,2753264,2447019,2535092,2057472,2510010
09,942618,978987,764179,852871,499925,765454
10,1566970,1626372,1542310,1658464,1132975,1398209
11,2900004,2983727,2435028,2639870,2098185,3081998
12,504013,521915,433629,497748,359145,471472
13,24331855,26153839,24245127,25404441,15976588,22073898
14,6379867,6645593,5919495,6654280,4034486,5114919
15,312553,319038,284898,251434,176085,251904
16,2122957,2276851,2078060,2227745,1359500,1792842
17,3736408,4211390,3880306,4457294,2916352,4103923
18,2005225,2057930,1883579,2134040,1417553,1912285
19,1262954,1288226,1113589,1200761,816513,1147453
21,9020007,9494475,8744448,9472564,6582866,7414486
22,2851708,3016171,2952368,3253268,2279145,3048608
23,296010,314756,274477,294513,155721,196961
24,2158868,2243079,1965167,1998531,1461830,1950883
25,4805784,5012969,4517592,5031830,3705409,4295210
26,7492518,7892146,7055501,7721739,4841803,6400468
27,5672967,5935268,5386482,5741840,3460238,4560038
28,9436492,9372959,8976251,9604577,6861725,8499000
29,4489901,4685941,4609234,5157473,3581069,4836113
30,4843473,5081232,4565337,4573584,3600809,5078071
31,16401306,17290983,14302626,16108782,12635080,16252062
32,538418,584295,472328,556364,403687,494532
33,21666364,25472912,26819366,30367820,19835848,27651305
34,12598135,13337689,11465768,11009289,8022651,11275887
35,15861382,16876095,16809749,18777307,12535470,15862208
36,1135778,1188923,1110078,1235971,883477,1023819
37,10672519,11107658,10671009,11319152,7140443,9740410
38,20460122,21988257,20725698,23165371,14479748,18586341
39,1748948,1836554,1629242,1751630,1433291,1723224
40,1715355,1888945,1799832,2016735,1470671,2068642
41,3448729,3538194,3346146,3509439,2424068,3036829
42,7223657,7757067,7032318,7838871,4287762,5803188
43,652411,570961,615785,750659,448581,619292
44,17744093,19089288,18858826,20640742,12890289,17228874
45,8533745,8851484,8415321,8557689,5141501,6793446
46,804864,816149,683428,707192,571986,767947
47,1921613,2007886,1865371,2071341,1444783,1947275
48,180043,170197,160307,165218,138602,170398
49,7796343,8143988,7689804,8212452,4927663,6609771
50,1681372,1746457,1568323,1757381,1065060,1399113
51,7527241,7934919,7273738,7892040,5214361,6403426
52,900358,890621,769101,802894,511944,624134
53,1658013,1745385,1748677,1724450,1001301,1334543
54,12596216,13005008,12611581,13434896,8877540,10753663
55,1077840,1152334,1082480,1179335,860697,1051199
56,3716353,3962470,3880089,4445200,3089971,4276536
57,15892920,16616018,15650406,16732666,10695062,13485738
58,1506190,1574832,1426012,1531549,1073009,1404633
59,47659987,50906747,48487149,52862790,32422134,37301090
60,23111382,24314245,22412450,24023502,15895731,19962522
61,1199064,1217686,1122705,1216991,745964,1023525
62,16589612,17151902,15938959,17049426,10781904,12527078
63,6380029,6764096,6175330,6940999,4881629,5790881
64,3145747,3485041,3158349,3720452,2599745,3884849
65,1011161,1063198,875544,931177,604741,889635
66,2415173,2564377,2173432,2280853,1720178,2515693
67,35627531,37626185,37555907,39863278,26419817,32088944
68,14033720,14748417,14545633,15470143,10263611,11905780
69,52759394,56743564,54008589,58432630,35620923,46377391
70,752015,773825,640696,664359,569453,614499
71,5052817,5300776,4889154,5302976,3947154,4785509
72,7265462,7456852,6937003,6881816,3761328,5100753
73,7722744,8079859,7435841,8114030,5464405,6731325
74,6811022,7329473,6551657,7151455,5233133,7068094
75,567177308,574338271,564714175,564560969,308811304,394569499
76,11625034,12119132,11653081,12943305,8372345,9958848
77,115611932,117762270,117177362,116424986,52188963,95311351
78,193856338,195162470,193118070,192552346,90004165,131021236
79,1688711,1689131,1559227,1642856,1124021,1461469
80,9508583,9844915,9416799,9786625,6807691,8597025
81,1864538,1995933,1630786,1930231,1520582,1939854
82,1738226,1789884,1482819,1642714,1344684,1814071
83,8182052,8948031,7788583,8399267,5691329,8259600
84,7832142,8465258,7490051,8129997,4410460,6635086
85,2133802,2245738,2140813,2291752,1519170,2064204
86,3980305,4245594,3920750,4238352,2588229,3554860
87,2164088,2190677,1873655,2070517,1376184,1832091
88,3109761,3144474,2879399,3128154,2274565,2859412
89,2947078,3083286,2770462,3106852,2053117,2633223
90,1843691,1977545,1779247,1987850,1226722,1494853
91,154663671,159810504,160351673,157969219,73327763,134146209
92,148387533,151173382,151964959,154054086,58661748,120684276
93,263657089,273655627,279266738,278431249,146732988,212965366
94,112148916,112807571,111417091,110062498,57681818,86523628
95,216172121,221544816,224038445,223343479,101001529,171539615
